batch_id,machine_id,shift,operator_experience_years,melt_temperature_c,mold_temperature_c,injection_pressure_bar,injection_speed_mm_s,screw_speed_rpm,back_pressure_bar,hold_pressure_bar,hold_time_s,cooling_time_s,cycle_time_s,material_moisture_pct,ambient_humidity_pct,part_weight_g,defect,defect_type
B100000,M4,Night,2.9,231.18,56.6,120.46,67.59,104.3,9.94,61.43,5.43,20.75,32.42,0.01,55.56,49.515,0,none
B100001,M2,Evening,8.9,223.54,63.93,119.15,87.9,99.0,11.74,66.41,7.11,13.54,25.52,0.006,57.04,49.23,1,burn_mark
B100002,M5,Day,4.6,255.47,61.06,111.62,40.01,129.4,16.25,80.23,5.56,13.25,25.03,0.005,38.56,50.884,0,none
B100003,M3,Evening,0.4,234.76,52.98,131.47,70.96,114.7,17.21,96.88,6.89,18.05,30.28,0.0401,48.67,50.831,0,none
B100004,M1,Day,5.9,248.97,65.32,132.42,74.5,142.7,15.29,67.06,5.05,18.14,27.47,0.1496,48.37,50.489,0,none
B100005,M5,Night,12.3,243.94,52.07,146.76,67.79,129.5,13.49,75.52,7.89,15.44,28.65,0.0589,28.75,51.325,1,short_shot
B100006,M4,Evening,8.8,229.79,57.47,110.95,44.9,152.1,12.99,102.98,6.21,19.38,32.84,0.1013,57.89,51.032,1,burn_mark
B100007,M4,Day,15.1,229.87,51.89,130.0,44.03,108.4,18.53,70.06,4.33,9.57,20.03,0.005,40.68,50.894,0,none
B100008,M1,Day,7.7,249.46,59.62,91.36,61.46,146.7,14.96,75.62,6.43,14.48,23.36,0.028,56.8,49.647,0,none
B100009,M2,Night,16.8,249.63,51.24,132.44,61.35,170.9,10.51,55.15,5.54,20.82,31.69,0.0437,42.42,50.187,0,none
B100010,M2,Day,7.7,216.23,71.48,98.15,51.61,121.3,10.28,93.51,5.2,20.81,32.91,0.1147,70.42,49.769,1,burn_mark
B100011,M5,Night,7.1,240.5,75.17,105.24,79.37,132.5,20.05,61.44,5.64,20.18,31.53,0.0305,47.21,49.263,0,none
B100012,M3,Night,1.9,233.79,63.74,124.98,53.99,96.7,11.12,73.22,6.63,21.1,34.25,0.0801,69.21,50.531,0,none
B100013,M4,Evening,11.4,224.67,70.41,110.68,31.59,142.4,15.09,72.88,2.32,14.14,22.07,0.0772,48.27,49.708,0,none
B100014,M2,Day,5.0,237.62,39.61,108.62,56.64,148.2,19.4,71.02,4.97,7.47,18.63,0.0107,49.47,50.068,0,none
B100015,M1,Evening,4.4,221.5,40.79,112.73,67.2,107.6,16.17,64.79,6.52,14.71,27.27,0.14,65.67,49.419,1,burn_mark
B100016,M3,Night,12.1,230.34,51.78,130.94,65.13,134.7,10.97,72.9,5.87,19.18,30.41,0.1111,40.82,50.4,0,none
B100017,M1,Day,11.6,227.02,55.41,106.01,65.01,127.0,9.94,91.09,3.81,20.0,30.38,0.1168,50.5,49.413,0,none
B100018,M4,Day,11.5,230.0,53.02,119.19,82.41,129.8,21.48,97.37,1.95,13.37,22.85,0.006,55.4,50.128,0,none
B100019,M3,Day,5.6,234.29,38.58,114.32,43.28,140.3,9.84,67.9,8.05,11.16,25.6,0.046,54.04,50.1,0,none
B100020,M4,Day,6.8,224.84,66.52,132.3,53.64,133.0,11.79,64.61,5.22,11.66,22.98,0.0207,50.43,50.108,1,burn_mark
B100021,M2,Evening,6.8,250.73,76.54,132.72,83.18,116.5,15.49,60.29,7.77,13.28,26.21,0.0294,49.06,49.37,1,burn_mark
B100022,M5,Evening,10.1,239.93,67.81,92.47,30.49,140.8,13.12,102.23,6.69,6.51,20.14,0.138,58.46,49.756,1,short_shot
B100023,M5,Evening,13.2,252.95,65.86,135.68,59.19,147.8,16.3,71.55,4.31,13.36,23.16,0.088,51.77,50.898,0,none
B100024,M4,Day,8.5,233.4,57.26,110.84,78.43,106.1,8.13,83.38,1.75,16.24,24.55,0.0182,59.66,50.311,0,none
B100025,M1,Day,14.9,229.51,46.57,123.54,78.21,120.0,13.16,78.36,4.81,15.51,27.08,0.0195,53.92,49.928,0,none
B100026,M2,Day,10.6,252.58,55.73,105.92,69.9,75.8,16.71,96.5,5.44,14.35,26.78,0.1195,56.5,50.101,1,burn_mark
B100027,M1,Night,6.1,229.22,76.06,125.57,70.28,134.6,16.72,67.03,6.18,12.55,25.74,0.198,61.34,50.286,1,burn_mark
B100028,M1,Evening,10.3,233.22,51.48,158.27,44.38,150.6,11.71,56.72,3.83,13.14,23.94,0.0476,46.9,51.016,0,none
B100029,M3,Day,13.8,242.2,50.45,121.91,80.6,113.6,9.91,92.31,5.77,13.22,23.74,0.0072,61.06,50.666,1,burn_mark
B100030,M4,Night,15.0,222.62,66.07,113.1,42.0,123.3,14.85,80.84,5.77,19.53,30.43,0.169,48.43,49.901,1,burn_mark
B100031,M5,Day,11.7,242.11,66.74,116.52,42.89,114.5,8.75,75.48,6.98,16.0,27.6,0.0105,35.99,50.141,0,none
B100032,M2,Day,7.1,240.83,46.52,97.96,65.82,110.4,19.14,88.42,5.04,31.83,41.43,0.057,46.71,50.024,0,none
B100033,M2,Day,6.1,247.69,52.39,141.73,52.6,125.8,14.63,76.16,6.16,14.34,28.03,0.0717,42.77,51.275,0,none
B100034,M2,Night,9.3,243.9,49.98,124.69,63.1,100.4,11.21,88.84,5.93,18.19,29.14,0.022,53.75,50.508,0,none
B100035,M1,Evening,13.7,248.0,55.7,104.27,66.46,114.1,9.78,72.96,6.81,14.45,26.14,0.133,47.14,49.324,0,none
B100036,M1,Evening,8.7,233.9,66.04,104.76,86.67,97.4,11.47,80.82,4.27,14.33,24.54,0.0074,51.28,48.892,0,none
B100037,M2,Day,8.8,226.37,46.96,120.23,66.51,134.7,7.75,76.32,1.5,23.81,30.57,0.0328,60.14,49.401,0,none
B100038,M1,Day,7.2,256.1,65.9,133.98,50.72,126.0,15.98,66.1,5.14,20.99,34.39,0.0833,64.86,50.529,0,none
B100039,M3,Evening,5.7,219.73,56.02,102.74,70.15,109.2,10.79,67.54,5.15,7.23,18.11,0.0243,52.93,49.213,0,none
B100040,M2,Day,6.4,220.73,78.26,136.7,47.52,120.9,15.6,65.29,3.76,10.89,21.1,0.0521,60.86,49.735,1,burn_mark
B100041,M4,Night,7.5,240.65,58.19,118.63,73.7,114.5,16.15,73.19,3.24,15.32,23.78,0.005,48.23,49.41,1,burn_mark
B100042,M4,Night,13.9,251.25,54.03,106.05,60.97,148.6,17.86,64.53,4.64,13.41,22.39,0.0228,34.37,49.838,0,none
B100043,M2,Evening,6.0,236.9,60.75,112.98,66.01,109.0,15.01,75.23,5.33,8.46,19.06,0.0352,38.21,50.412,0,none
B100044,M4,Evening,7.2,244.99,51.63,146.23,33.29,135.9,18.5,74.82,5.64,16.58,27.5,0.1036,48.04,51.681,0,none
B100045,M4,Night,3.5,215.04,37.05,99.18,26.24,102.4,19.54,72.46,2.07,6.61,13.96,0.046,57.96,48.818,1,burn_mark
B100046,M2,Evening,9.9,230.0,52.59,109.02,37.48,140.4,15.03,72.67,2.87,16.63,23.9,0.0607,48.07,50.011,0,none
B100047,M2,Evening,12.5,216.26,52.44,134.29,86.19,145.9,15.27,63.21,7.19,19.65,32.98,0.0596,61.86,50.084,0,none
B100048,M3,Night,13.5,242.8,39.08,123.25,42.78,147.1,11.77,66.62,5.22,20.36,31.24,0.005,68.32,50.146,0,none
B100049,M1,Day,7.8,219.53,54.27,108.13,70.98,156.8,10.05,49.95,5.5,15.28,25.23,0.0487,41.12,48.818,0,none
B100050,M1,Night,9.3,222.22,34.33,134.47,50.37,127.3,19.13,68.56,3.5,23.55,33.16,0.0774,71.25,50.427,0,none
B100051,M1,Day,6.4,240.14,51.52,135.18,56.4,150.9,16.42,58.17,5.49,17.66,29.91,0.0812,33.65,50.503,0,none
B100052,M4,Evening,9.1,245.62,57.44,124.97,59.33,160.6,16.75,71.2,4.94,20.23,32.36,0.0576,68.49,50.471,0,none
B100053,M3,Night,8.3,233.41,55.97,110.81,84.66,91.9,11.64,61.43,4.57,12.32,20.47,0.038,49.66,49.536,0,none
B100054,M4,Evening,7.2,240.7,50.89,113.13,68.77,104.9,20.5,45.39,3.31,23.61,32.18,0.0116,47.67,49.375,1,burn_mark
B100055,M4,Evening,7.6,240.38,54.14,124.27,65.78,82.6,13.09,97.03,4.2,15.99,24.81,0.0578,49.92,50.473,0,none
B100056,M2,Evening,8.8,232.85,47.16,100.32,79.45,146.5,10.79,67.22,8.46,23.88,37.69,0.0534,42.0,48.971,0,none
B100057,M3,Day,5.8,224.05,55.11,139.92,50.5,82.3,11.71,87.36,4.98,22.79,35.16,0.0204,65.02,50.603,0,none
B100058,M1,Day,6.0,240.65,55.58,145.5,76.03,75.5,20.28,63.68,6.68,17.29,29.25,0.1663,43.08,50.402,1,burn_mark
B100059,M1,Day,13.8,241.13,46.0,116.46,73.52,92.6,9.56,90.38,5.21,18.03,28.76,0.1663,44.35,50.455,1,burn_mark
B100060,M3,Evening,17.8,243.94,57.68,125.34,73.35,76.5,11.0,56.18,5.03,15.1,25.3,0.0436,36.21,49.614,0,none
B100061,M2,Evening,2.2,238.12,57.61,137.79,57.67,126.8,25.59,72.11,4.55,11.9,24.08,0.0278,42.69,51.02,0,none
B100062,M3,Day,2.0,223.32,53.34,149.33,53.44,92.9,17.76,56.89,7.52,18.98,30.19,0.051,43.0,50.162,1,burn_mark
B100063,M4,Night,3.2,241.9,79.21,143.35,46.95,77.7,11.07,101.21,6.06,18.72,30.22,0.1637,42.33,51.63,1,burn_mark
B100064,M3,Day,6.6,234.99,53.59,93.97,47.89,119.0,9.67,67.01,4.32,7.91,17.36,0.01,48.24,49.573,0,none
B100065,M3,Evening,10.6,230.17,52.21,115.27,46.24,120.4,7.31,79.94,4.91,15.59,24.77,0.0273,38.85,50.279,0,none
B100066,M3,Evening,9.4,232.05,50.78,127.51,65.5,73.3,14.39,75.41,7.11,20.34,34.56,0.0247,65.95,49.588,0,none
B100067,M2,Day,7.7,228.1,45.29,112.59,56.57,102.2,16.91,69.69,1.5,23.33,29.03,0.0595,48.47,49.749,0,none
B100068,M1,Evening,9.1,243.89,61.86,146.74,66.47,118.1,20.08,76.21,5.97,19.63,31.13,0.0111,53.74,50.737,0,none
B100069,M2,Evening,4.2,220.82,48.14,144.44,67.32,111.1,6.42,86.31,6.31,8.41,20.64,0.1725,58.62,50.311,1,burn_mark
B100070,M1,Day,6.0,225.07,49.32,107.76,44.1,111.8,8.7,78.02,4.38,10.73,20.35,0.0355,70.25,49.881,1,burn_mark
B100071,M2,Night,6.9,231.71,49.62,117.56,43.65,149.5,13.52,71.95,5.73,14.27,24.27,0.0152,59.1,49.643,0,none
B100072,M5,Night,0.7,251.14,45.15,108.76,56.57,173.7,25.15,76.23,6.25,22.99,35.08,0.0126,47.52,50.149,1,burn_mark
